Authorized Date,Posted Date,Status,Account Name,Description,Primary Category,Detailed Category,Amount
2025-11-10,2025-11-11,Posted,Blue Cash Preferred® ***1009,Northgate Marculver City,Food & drink,Groceries,-6.56
2025-11-10,2025-11-10,Posted,Personal Profile,P2P Transfer,Transfers,Account transfers,29.00
2025-11-09,2025-11-09,Posted,Checking - 9631,Venmo,Transfers,Other transfers,1470.18
2025-11-08,2025-11-08,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Fairmont Hotel,Food & drink,Restaurants & bars,-65.35
2025-11-08,2025-11-08,Posted,Personal Profile,"James Ross ""partiful.com 🎟 for ""Birthday Season"" 🎉""",Transfers,Account transfers,27.00
2025-11-08,2025-11-08,Posted,Personal Profile,P2P Transfer,Transfers,Account transfers,27.00
2025-11-08,2025-11-08,Posted,Personal Profile,Standard transfer,Transfers,Account transfers,-1470.18
2025-11-08,2025-11-08,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Fairmont Hotel,Food & drink,Restaurants & bars,-24.58
2025-11-08,2025-11-08,Posted,Personal Profile,Reagan Ricossa 🍺,Food & drink,Other food & drink,-10.00
2025-11-08,2025-11-08,Posted,Personal Profile,P2P Transfer,Transfers,Account transfers,27.00
2025-11-07,2025-11-07,Posted,Checking - 9631,Robinhood,Transfers,Other transfers,-25.00
2025-11-06,2025-11-06,Posted,Savings - 7571,Transfer to Checking,Transfers,Other transfers,-200.00
2025-11-06,2025-11-06,Posted,Checking - 9631,Transfer From Savings,Transfers,Other transfers,200.00
2025-11-06,2025-11-06,Posted,Personal Profile,P2P Transfer,Transfers,Account transfers,29.00
2025-11-06,2025-11-06,Posted,Personal Profile,P2P Transfer,Transfers,Account transfers,29.00
2025-11-06,2025-11-06,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,11th Annual La Ipa,Entertainment,Events & recreation,-39.19
2025-11-06,2025-11-06,Posted,Personal Profile,Oz Rahamim Locksmith,Transportation,Car services,-300.00
2025-11-06,2025-11-07,Posted,Blue Cash Preferred® ***1009,ARCO,Transportation,Gas & EV charging,-42.02
2025-11-05,2025-11-05,Posted,Savings - 7571,Direct Deposit,Income,Other income,2289.41
2025-11-05,2025-11-05,Posted,Savings - 7571,Overdraft Protection Transfer,Transfers,Other transfers,-359.24
2025-11-05,2025-11-05,Posted,Checking - 9631,Aidvantage,Transfers,Other transfers,-437.00
2025-11-05,2025-11-05,Posted,Checking - 9631,Overdraft Protection Transfer,Transfers,Other transfers,359.24
2025-11-05,2025-11-06,Posted,Blue Cash Preferred® ***1009,Smart & Final,Food & drink,Groceries,-35.48
2025-11-04,2025-11-04,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,BP,Transfers,Other transfers,-2.49
2025-11-04,2025-11-05,Posted,Blue Cash Preferred® ***1009,Pavilions,Food & drink,Groceries,-19.51
